card,format,decks_present_in,total_copies,bucket,suggested_registry,oracle_summary
Thoughtseize,pioneer,5,19,REGISTERED,SPELL,
Abrade,pioneer,5,12,REGISTERED,SPELL,
Fatal Push,pioneer,4,16,REGISTERED,SPELL,
Cori-Steel Cutter,pioneer,4,15,REGISTERED,ETB,
Duress,pioneer,4,12,REGISTERED,SPELL,
Rest in Peace,pioneer,4,11,REGISTERED,ETB,
Pyroclasm,pioneer,4,8,REGISTERED,SPELL,
Unlicensed Hearse,pioneer,4,8,REGISTERED,ETB,
Llanowar Elves,pioneer,3,12,REGISTERED,ETB,
Monastery Swiftspear,pioneer,3,12,REGISTERED,ETB,
Soul-Scar Mage,pioneer,3,12,HAS_EFFECTS,REVIEW,"Prowess | If a source you control would deal noncombat damage to a creature an opponent controls,..."
Emberheart Challenger,pioneer,3,11,REGISTERED,ETB,
Reckless Rage,pioneer,3,11,HAS_EFFECTS,SPELL_EFFECTS,Reckless Rage deals 4 damage to target creature you don't control and 2 damage to target creature...
Vanishing Verse,pioneer,3,10,REGISTERED,SPELL,
High Noon,pioneer,3,9,REGISTERED,ETB,
"Sheoldred, the Apocalypse",pioneer,3,9,REGISTERED,ETB,
Culling Ritual,pioneer,3,8,REGISTERED,SPELL,
Fiery Impulse,pioneer,3,8,HAS_EFFECTS,SPELL_EFFECTS,Fiery Impulse deals 2 damage to target creature. | Spell mastery — If there are two or more insta...
Abrupt Decay,pioneer,3,7,REGISTERED,SPELL,
"Beza, the Bounding Spring",pioneer,3,6,REGISTERED,ETB,
Firebending Lesson,pioneer,3,6,REGISTERED,SPELL,
Soul-Guide Lantern,pioneer,3,6,REGISTERED,ETB,
Redcap Melee,pioneer,3,5,HAS_EFFECTS,SPELL_EFFECTS,Redcap Melee deals 4 damage to target creature or planeswalker. If a nonred permanent is dealt da...
Spell Pierce,pioneer,3,5,REGISTERED,SPELL,
Academic Dispute,pioneer,2,8,REGISTERED,SPELL,
Badgermole Cub,pioneer,2,8,REGISTERED,ETB,
Boomerang Basics,pioneer,2,8,REGISTERED,SPELL,
Burst Lightning,pioneer,2,8,REGISTERED,SPELL,
Elvish Mystic,pioneer,2,8,HAS_EFFECTS,REVIEW (activated),{T}: Add {G}.
Kumano Faces Kakkazan,pioneer,2,8,HAS_EFFECTS,ETB_EFFECTS,"(As this Saga enters and after your draw step, add a lore counter.) | I — This Saga deals 1 damag..."
Magebane Lizard,pioneer,2,8,REGISTERED,ETB,
Preacher of the Schism,pioneer,2,8,REGISTERED,ETB,
Stormchaser's Talent,pioneer,2,8,REGISTERED,ETB,
